Ticker,Cluster
intu,1
ions,13
ip,2
ipg,2
ir,3
irm,1
isrg,1
itt,3
itub,8
itw,3
ivz,11
jaso,6
jazz,14
jbht,3
jbl,16
jblu,3
jci,1
jcp,14
jec,2
jhg,11
jll,2
jnj,10
jnpr,16
jpm,11
jwn,14
k,10
kbh,7
kbr,2
key,11
kgc,4
kim,19
kkr,3
klac,15
kmb,10
kmx,14
ko,10
kr,10
kss,14
ksu,2
l,1
lamr,2
laz,11
lb,14
lbtya,1
lbtyk,1
ldos,1
lea,3
len,7
lfc,8
lh,10
lii,3
lkq,3
ll,14
lll,1
lly,10
lm,11
lmt,10
lnc,11
lng,18
lnt,10
low,1
lpt,19
lrcx,15
luk,11
lulu,14
luv,3
lvlt,3
lvs,2
lyb,2
m,14
ma,1
maa,19
mac,19
man,2
mar,3
mas,7
mat,1
mbi,11
mbt,8
mcd,10
mchp,15
mck,10
mco,3
mdc,7
mdlz,10
mdr,5
mdt,1
meli,15
met,11
mfc,11
mga,3
mgm,2
mhk,2
mkc,10
mlco,17
mlm,3
mmc,1
mmm,1
mo,10
mon,1
mos,8
mrk,10
mro,5
mrvl,15
ms,11
msci,3
msft,1
msi,1
mt,12
mtb,11
mtd,3
mtg,0
mtl,12
mtw,2
mu,16
mur,8
mxim,15
mygn,1
myl,1
nbl,5
nbr,5
ncr,15
ndaq,3
ne,5
nee,10
nem,4
nflx,17
nfx,5
nke,14
nly,10
nnn,19
noc,1
nok,8
nov,5
nrg,1
nsc,3
ntap,15
ntes,17
ntrs,1
nuan,15
nue,8
nus,14
nvda,16
nvo,1
nvr,1
nvs,10
nwl,3
nxpi,16
nycb,1
o,19
oas,5
oc,2
odp,2
ohi,19
oi,2
oii,5
ois,5
oke,1
omc,1
on,16
orcl,15
orly,10
osk,2
oxy,8
paa,10
paas,4
pay,15
payx,1
pbct,1
pbr,8
pbr-a,8
pcar,3
pcg,10
pcln,15
peg,10
pep,10
pfe,10
pfg,11
pg,10
pgr,1
ph,3
phg,11
phm,7
pii,14
pkg,3
pkx,8
plce,14
pld,19
pm,10
pnc,11
pnr,3
pot,8
ppg,3
ppl,10
prgo,1
pru,11
psa,19
pten,5
ptr,8
pvh,14
pwr,3
px,1
pxd,5
qcom,15
qep,5
qvca,3
rad,3
rcl,2
rdc,5
rdn,0
rds-a,1
rds-b,1
re,10
reg,19
regn,13
rf,11
rgld,4
rht,15
rig,8
rio,12
rjf,11
rl,14
rmbs,16
rmd,1
rnr,10
rok,2
rop,3
rost,14
rrc,5
rs,2
rsg,1
rtn,1
ry,1
ryn,19
s,3
san,11
sanm,16
sap,1
sbac,10
sbux,14
scco,12
scg,10
schw,11
sdrl,8
sfun,17
shld,14
shpg,1
shw,1
sid,12
sig,3
sina,17
siri,3
sivb,11
six,1
sjm,10
skx,14
slb,5
slg,19
slm,11
sm,5
sne,1
snh,19
sni,1
snps,1
sny,1
so,10
sohu,17
spg,19
spgi,1
spn,5
spr,3
spxc,2
srcl,1
sre,10
srpt,9
ssys,16
st,3
sti,11
stld,12
sto,8
stt,11
stwd,10
stx,15
stz,1
su,5
swk,3
swks,16
swn,5
syk,1
symc,15
syna,15
syy,10
t,10
tap,10
tco,19
td,1
tdc,15
tdg,1
tdw,8
teck,12
tef,8
tel,15
ter,16
teva,10
tex,2
tgna,2
tgt,10
thc,3
tif,14
tivo,15
tjx,10
tkr,2
tm,1
tmo,1
tmus,3
tol,7
tot,8
tpr,14
tpx,14
trmb,15
trn,2
trow,11
trv,1
ts,8
tsco,14
tsla,13
tsm,15
tsn,1
tss,1
ttm,8
ttwo,15
tup,3
tv,3
two,10
twx,1
txn,15
txt,2
uaa,14
ual,3
udr,19
uhs,3
ul,10
ulta,14
un,1
unh,1
unm,11
unp,3
ups,1
urbn,14
uri,2
usb,11
usg,7
uthr,13
utx,1
v,1
vale,12
var,1
vc,1
vfc,14
viav,16
vlo,5
vmc,3
vmw,15
vno,19
vod,1
vrsk,10
vrsn,1
vrtx,13
vrx,13
vtr,19
vz,10
wab,3
wat,3
wba,10
wbc,2
wcc,2
wcg,13
wdc,15
wdr,11
wec,10
wfc,11
wft,5
whr,2
win,10
wll,5
wltw,10
wm,1
wmb,8
wmt,10
wpm,4
wpz,10
wrb,10
wsm,14
wtw,1
wu,1
wy,3
wyn,3
wynn,2
x,12
xec,5
xel,10
xl,3
xlnx,15
xom,1
xrx,3
yum,1
zbh,1
zion,11
